sno,url,brand,title,description,metadata,trending,stockQuantity,soldQuantity,price,salePrice,sizes,categories,rating
1,"https://back-benchers.netlify.app/product_imgs/img00001.png , https://back-benchers.netlify.app/product_imgs/img00002.png",Unknown,Lavendar Solid Knitted Fitted Top,"Sleeve Length:Sleeveless, Neck:Shoulder Straps, Type:Fitted, Pattern:Solid, Sleeve Styling:Shoulder Straps, Surface Styling:Tie-Ups, Transpanrency:Opaque, Closure:Tie-Ups, Length:Regular, Main Trend:New Basics, Ocassion:Casual, Weave Type: Knitted","The model (height 5'8"") is wearing a size S Material & Care. Has shoulder straps, and tie-ups closure",FALSE,1,0,100,499,S,Top,0
2,"https://back-benchers.netlify.app/product_imgs/img00003.png , https://back-benchers.netlify.app/product_imgs/img00004.png",Unknown,Black Crop Fitted Top Ribbed,"Sleeve Length:Sleeveless, Neck:High Neck, Type:Fitted, Pattern:Solid, Sleeve Styling:No Sleeves, Transpanrency:Opaque, Length:Crop, Main Trend:New Basics, Ocassion:Casual, Weave Type: Knitted",The model (height 5'8) is wearing a size S Material & Care,FALSE,1,0,100,499,S,Top,0
3,"https://back-benchers.netlify.app/product_imgs/img00005.png , https://back-benchers.netlify.app/product_imgs/img00006.png",Unknown,Mustartd Yellow and White Crop Fitted Top,"Sleeve Length:Short Sleeves, Neck:V-Neck, Type:Fitted, Pattern:Floral, Sleeve Styling:Flutter Sleeves, Transpanrency:Opaque, Length:Crop, Fabric Type:Cotton, Main Trend:Micro or Ditsy Print, Ocassion:Casual, Weave Type: Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,Top,0
4,"https://back-benchers.netlify.app/product_imgs/img00007.png , https://back-benchers.netlify.app/product_imgs/img00008.png",Unknown,Blue Crop Regular Top,"Sleeve Length:Long Sleeves, Neck:High-Neck, Type:Regular, Pattern:Self Design, Sleeve Styling:Regular Sleeves, Surface Styling:Cut Out, Transpanrency:Opaque, Length:Crop, Fabric Type:Cotton, Main Trend:New Basics, Ocassion:Casual, Weave Type: Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,Top,0
5,"https://back-benchers.netlify.app/product_imgs/img00009.png , https://back-benchers.netlify.app/product_imgs/img00010.png",Unknown,White and Pink Crop Fitted Top,"Sleeve Length:Sleevesless, Neck:Round Neck, Type:Fitted, Pattern:Colourblocked, Sleeve Styling:No Sleeves, Transpanrency:Opaque, Length:Crop, Main Trend:Colourblocked, Ocassion:Casual, Weave Type: Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,Top,0
6,"https://back-benchers.netlify.app/product_imgs/img00011.png , https://back-benchers.netlify.app/product_imgs/img00012.png",Unknown,Black Crop Regular Top,"Sleeve Length:Sleevesless, Neck:High Neck, Type:Regular, Pattern:Solid, Sleeve Styling:No Sleeves, Surface Styling:Tie-Ups, Transpanrency:Opaque, Length:Crop, Main Trend:New Basics, Ocassion:Casual, Weave Type: Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,Top,0
7,"https://back-benchers.netlify.app/product_imgs/img00013.png , https://back-benchers.netlify.app/product_imgs/img00014.png",Unknown,Pink Crop Regular Top,"Sleeve Length:Short Sleeves, Neck:Round Neck, Type:Regular, Pattern:Vertical Stripes, Sleeve Styling:Regular Sleeves, Transpanrency:Opaque, Length:Crop, Main Trend:New Basics, Ocassion:Casual, Weave Type: Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,Top,0
8,"https://back-benchers.netlify.app/product_imgs/img00015.png , https://back-benchers.netlify.app/product_imgs/img00016.png",Unknown,Black and White Crop Regular Top,"Sleeve Length:Short Sleeves, Neck:Scoop Neck, Type:Regular, Pattern:Colourblocked, Sleeve Styling:Cap Sleeves, Transpanrency:Opaque, Length:Crop, Main Trend:Colourblocked, Ocassion:Casual, Weave Type: Knitted",The model (height 5'8) is wearing a size S,FALSE,1,0,100,499,S,Top,0
9,"https://back-benchers.netlify.app/product_imgs/img00017.png , https://back-benchers.netlify.app/product_imgs/img00018.png",Unknown,Two-Piece,"Sleeve Length:Long Sleeves, Neck:Round Neck, Number Of Pockets:2, Type:Two-Piece, Pattern:Colourblocked, Fabric:100% Cotton, Ocassion:Casual, Surface Styling:Waist Tie-Ups, Sustainable:Regular",The model (height 5'8) is wearing a size S,FALSE,1,0,100,999,S,Two-Piece,0
10,"https://back-benchers.netlify.app/product_imgs/img00019.png , https://back-benchers.netlify.app/product_imgs/img00020.png",Unknown,Co-Ord Sweatshirt Set,"Better Cotton Initiative:Regular Sleeve Length:Long Sleeves, Bottom Fabric:Pure Cotton, Bottom Pattern:Dyed, Bottom Type:Shorts, Neck:Round Neck, Ocasion:Casual, Sustainable:Regular, Top Fabric:Pure Cotton, Bottom Closure:Drawstring, Top Pattern:Dyed, Top Type:T-shirt, Wash Care: Machine Wash",The model (height 5'8) is wearing a size S,FALSE,1,0,100,999,S,Sweatshirt Co-Ord Set,0
